host_id,target_id,output,tested_points,valid_points,valid_fraction,rmse,mae_scalar,aepe
49,50,immature_nonfinal,2807,2807,1.0,0.970091303087922,0.17730039229418929,0.1773003922941893
49,50,marginalized,786,786,1.0,0.2709843139371582,0.10575136343097523,0.10575136343097541
49,50,marginalized_final,376,376,1.0,0.2764566611109721,0.10747581135547665,0.10747581135547671
49,50,marginalized_nonfinal,410,410,1.0,0.26586677575517836,0.10416991850509108,0.10416991850509102
49,50,outlier,213,213,1.0,3.4536837289781332,0.8139670613891143,0.8139670613891139
49,50,outlier_final,85,85,1.0,3.8633737780195907,0.9871209107199446,0.987120910719944
49,50,outlier_nonfinal,128,128,1.0,3.152341052471675,0.69898208331786,0.6989820833178599
51,52,active,3040,3040,1.0,1.3286525891770558,0.2345022991380121,0.2345022991380122
51,52,active_nonfinal,3040,3040,1.0,1.3286525891770558,0.2345022991380121,0.2345022991380122
51,52,all,17225,17225,1.0,1.6661187089814675,0.2740955705766978,0.27409557057669776
51,52,all_nonfinal,17225,17225,1.0,1.6661187089814675,0.2740955705766978,0.27409557057669776
51,52,immature,6396,6396,1.0,1.3280234374384665,0.21748555040703166,0.2174855504070315
51,52,immature_nonfinal,6396,6396,1.0,1.3280234374384665,0.21748555040703166,0.2174855504070315
51,52,marginalized,5548,5548,1.0,0.21966896732868058,0.13684668927323748,0.13684668927323743
51,52,marginalized_nonfinal,5548,5548,1.0,0.21966896732868058,0.13684668927323748,0.13684668927323743
51,52,outlier,2241,2241,1.0,3.7133574956826307,0.8291593937138635,0.8291593937138632
51,52,outlier_nonfinal,2241,2241,1.0,3.7133574956826307,0.8291593937138635,0.8291593937138632
53,54,active,675,675,1.0,1.7653239334260569,0.31331365583789533,0.3133136558378953
53,54,active_nonfinal,675,675,1.0,1.7653239334260569,0.31331365583789533,0.3133136558378953
53,54,all,3763,3763,1.0,1.8913290259986901,0.32422342452055813,0.32422342452055813
53,54,all_final,653,653,1.0,1.6307623450170938,0.2775580359941848,0.277558035994185
53,54,all_nonfinal,3110,3110,1.0,1.9416027666826883,0.33402165561628816,0.33402165561628816
53,54,immature,2062,2062,1.0,1.8733422251514043,0.3132089877300831,0.31320898773008315
53,54,immature_final,154,154,1.0,0.19497761759949975,0.12745770281389077,0.12745770281389088
53,54,immature_nonfinal,1908,1908,1.0,1.9466887392963095,0.3282014918585386,0.32820149185853864
53,54,marginalized,841,841,1.0,0.20387620895005837,0.1209122255674508,0.12091222556745082
53,54,marginalized_final,412,412,1.0,0.20082578266676646,0.12037024324615614,0.12037024324615615
53,54,marginalized_nonfinal,429,429,1.0,0.206763396298622,0.12143273073382234,0.12143273073382231
53,54,outlier,185,185,1.0,4.699518166660857,1.4110373750195986,1.4110373750195986
53,54,outlier_final,87,87,1.0,4.4387376125619555,1.2876364488901988,1.2876364488901986
53,54,outlier_nonfinal,98,98,1.0,4.919457480217517,1.520587176787534,1.520587176787534
55,56,active,672,672,1.0,2.476400988240167,0.41860068097743325,0.4186006809774333
55,56,active_nonfinal,672,672,1.0,2.476400988240167,0.41860068097743325,0.4186006809774333
55,56,all,3659,3659,1.0,2.019132244570215,0.3544348117185724,0.3544348117185722
55,56,all_final,616,616,1.0,2.244840200776211,0.35723430636098324,0.35723430636098313
55,56,all_nonfinal,3043,3043,1.0,1.9702974686146153,0.3538681049490276,0.35386810494902743
55,56,immature,1906,1906,1.0,1.3652356236841654,0.2839141028977104,0.28391410289771046
55,56,immature_final,104,104,1.0,0.18986887760297488,0.1273101760851006,0.12731017608510062
55,56,immature_nonfinal,1802,1802,1.0,1.4033382935029202,0.29295228735304374,0.2929522873530438
55,56,marginalized,837,837,1.0,0.16596498374535534,0.1112053425507392,0.11120534255073922
55,56,marginalized_final,407,407,1.0,0.1662625938780999,0.1108478306011539,0.11084783060115382
55,56,marginalized_nonfinal,430,430,1.0,0.16568279983485948,0.11154373176813738,0.11154373176813734
55,56,outlier,244,244,1.0,5.439943977929366,1.5629433058336784,1.5629433058336775
55,56,outlier_final,105,105,1.0,5.424120217460667,1.5400095938175777,1.540009593817578
55,56,outlier_nonfinal,139,139,1.0,5.4518667279196,1.5802673328962,1.5802673328961994
57,58,active,3174,3174,1.0,0.8269035297441081,0.14477891362490114,0.1447789136249011
57,58,active_nonfinal,3174,3174,1.0,0.8269035297441081,0.14477891362490114,0.1447789136249011
57,58,all,15227,15227,1.0,1.1081740565708003,0.17929424998273596,0.17929424998273605
