method,mode,sequence,exposure_next,photometric_condition,radius_bin,tested_points,valid_points,valid_fraction,mean_normal_error,median_normal_error,p90_normal_error,mean_EPE,median_EPE,p90_EPE,mean_abs_It,runtime_ms,ms_per_pair,ms_per_valid_point
classical_nf,vignette,Office,0.75,synthetic_gamma_vignette_exposure,middle,9589,8750,0.912503910731046,6.978820323944092,3.470306873321533,17.788772583007812,6.986639499664307,3.4749202728271484,17.788780212402344,0.12832342088222504,0.0,0.0,0.0
classical_nf,vignette,Office,0.75,synthetic_gamma_vignette_exposure,border,5099,4829,0.947048440870759,7.413760185241699,4.15726375579834,18.999074935913086,7.422483444213867,4.160403728485107,18.99909210205078,0.1321297585964203,0.0,0.0,0.0
classical_nf,exposure,Office,0.75,synthetic_gamma_vignette_exposure,all,17843,16005,0.8969904164097966,6.968802452087402,3.4949841499328613,17.998085021972656,6.985152244567871,3.506838083267212,17.99808692932129,0.20512552559375763,2692.9685469982587,4.4074771636632715,0.16825795357689838
classical_nf,exposure,Office,0.75,synthetic_gamma_vignette_exposure,center,3155,2954,0.9362916006339144,5.966454982757568,2.901318073272705,14.560794830322266,5.985777854919434,2.9189491271972656,14.562199592590332,0.23109662532806396,0.0,0.0,0.0
classical_nf,exposure,Office,0.75,synthetic_gamma_vignette_exposure,middle,9589,8548,0.8914381061633121,7.063655853271484,3.490156650543213,18.20203971862793,7.080700874328613,3.505398750305176,18.204042434692383,0.2040693163871765,0.0,0.0,0.0
classical_nf,exposure,Office,0.75,synthetic_gamma_vignette_exposure,border,5099,4503,0.883114336144342,7.446290016174316,3.9720420837402344,19.492347717285156,7.459367275238037,3.980147361755371,19.495603561401367,0.19009330868721008,0.0,0.0,0.0
classical_nf,response_exposure,Office,0.75,synthetic_gamma_vignette_exposure,all,17843,17040,0.954996357114835,6.473721981048584,2.9463953971862793,17.348264694213867,6.480286121368408,2.9528770446777344,17.348310470581055,0.14004260301589966,8743.513371999485,14.310169184941874,0.5131169819248523
classical_nf,response_exposure,Office,0.75,synthetic_gamma_vignette_exposure,center,3155,3151,0.9987321711568938,5.392985820770264,2.4358959197998047,13.882606506347656,5.401821613311768,2.445127487182617,13.885489463806152,0.17802442610263824,0.0,0.0,0.0
classical_nf,response_exposure,Office,0.75,synthetic_gamma_vignette_exposure,middle,9589,9293,0.969131296276984,6.624093055725098,3.0325348377227783,17.578248977661133,6.630509853363037,3.033393144607544,17.578693389892578,0.13635756075382233,0.0,0.0,0.0
classical_nf,response_exposure,Office,0.75,synthetic_gamma_vignette_exposure,border,5099,4596,0.9013532065110806,6.910623550415039,3.401442289352417,18.735427856445312,6.91593074798584,3.4019012451171875,18.735782623291016,0.12145350873470306,0.0,0.0,0.0
classical_nf,full_photometric,Office,0.75,synthetic_gamma_vignette_exposure,all,17843,17843,1.0,6.603487491607666,3.0183396339416504,17.657787322998047,6.609943866729736,3.0239083766937256,17.660734176635742,0.14917904138565063,9620.961490995114,15.746254486080383,0.5392008906010824
classical_nf,full_photometric,Office,0.75,synthetic_gamma_vignette_exposure,center,3155,3155,1.0,5.402285099029541,2.4415807723999023,13.902549743652344,5.411109447479248,2.457980155944824,13.902552604675293,0.18076376616954803,0.0,0.0,0.0
classical_nf,full_photometric,Office,0.75,synthetic_gamma_vignette_exposure,middle,9589,9589,1.0,6.719560623168945,3.0685348510742188,17.79981231689453,6.726008892059326,3.07452392578125,17.800100326538086,0.14461952447891235,0.0,0.0,0.0
classical_nf,full_photometric,Office,0.75,synthetic_gamma_vignette_exposure,border,5099,5099,1.0,7.128447532653809,3.5908303260803223,19.23556900024414,7.133452892303467,3.59289813041687,19.236663818359375,0.1382105052471161,0.0,0.0,0.0
classical_nf,full_photometric_affine,Office,0.75,synthetic_gamma_vignette_exposure,all,17843,17843,1.0,6.659600734710693,3.117915630340576,17.785961151123047,6.665780067443848,3.1214044094085693,17.785985946655273,0.14206834137439728,23652.561860998958,38.71123054173316,1.3255933341365778
classical_nf,full_photometric_affine,Office,0.75,synthetic_gamma_vignette_exposure,center,3155,3155,1.0,5.461537837982178,2.5252788066864014,13.978789329528809,5.469501972198486,2.525681257247925,13.979131698608398,0.17085926234722137,0.0,0.0,0.0
classical_nf,full_photometric_affine,Office,0.75,synthetic_gamma_vignette_exposure,middle,9589,9589,1.0,6.771522521972656,3.1390931606292725,17.951858520507812,6.777862548828125,3.143712282180786,17.96222686767578,0.1374426782131195,0.0,0.0,0.0
classical_nf,full_photometric_affine,Office,0.75,synthetic_gamma_vignette_exposure,border,5099,5099,1.0,7.190426349639893,3.7484545707702637,19.363628387451172,7.195199012756348,3.754063606262207,19.363815307617188,0.13295280933380127,0.0,0.0,0.0
classical_nf,baseline,Office,1.0,synthetic_gamma_vignette_exposure,all,17843,16005,0.8969904164097966,6.557829856872559,3.0032920837402344,17.6422176361084,6.564470291137695,3.006620168685913,17.643268585205078,0.1317967176437378,2304.392854002458,3.7715103993493586,0.14397955976272778
classical_nf,baseline,Office,1.0,synthetic_gamma_vignette_exposure,center,3155,2954,0.9362916006339144,5.589629650115967,2.5022759437561035,14.496663093566895,5.597440719604492,2.5053908824920654,14.496711730957031,0.1471790224313736,0.0,0.0,0.0
classical_nf,baseline,Office,1.0,synthetic_gamma_vignette_exposure,middle,9589,8548,0.8914381061633121,6.609330654144287,2.980724811553955,17.78645133972168,6.616092205047607,2.98937726020813,17.78657341003418,0.1310855746269226,0.0,0.0,0.0
classical_nf,baseline,Office,1.0,synthetic_gamma_vignette_exposure,border,5099,4503,0.883114336144342,7.095214366912842,3.598890781402588,19.195100784301758,7.1008524894714355,3.599769353866577,19.195110321044922,0.12305577844381332,0.0,0.0,0.0
classical_nf,response,Office,1.0,synthetic_gamma_vignette_exposure,all,17843,17040,0.954996357114835,6.473721981048584,2.9463915824890137,17.348264694213867,6.480287075042725,2.952869415283203,17.348312377929688,0.14004231989383698,8792.481416996907,14.390313284773988,0.515990693485734
classical_nf,response,Office,1.0,synthetic_gamma_vignette_exposure,center,3155,3151,0.9987321711568938,5.392987251281738,2.435861587524414,13.882598876953125,5.401823043823242,2.44513201713562,13.885481834411621,0.17802412807941437,0.0,0.0,0.0
classical_nf,response,Office,1.0,synthetic_gamma_vignette_exposure,middle,9589,9293,0.969131296276984,6.624093532562256,3.032533645629883,17.578245162963867,6.630509853363037,3.0333964824676514,17.578689575195312,0.13635729253292084,0.0,0.0,0.0
classical_nf,response,Office,1.0,synthetic_gamma_vignette_exposure,border,5099,4596,0.9013532065110806,6.9106245040893555,3.401428699493408,18.735435485839844,6.915931701660156,3.4018874168395996,18.735790252685547,0.12145320326089859,0.0,0.0,0.0
classical_nf,vignette,Office,1.0,synthetic_gamma_vignette_exposure,all,17843,16535,0.9266939416017486,6.593710422515869,3.0427310466766357,17.654298782348633,6.600227355957031,3.0459842681884766,17.654748916625977,0.14305472373962402,3441.4718629997196,5.632523507364517,0.208132558996052
classical_nf,vignette,Office,1.0,synthetic_gamma_vignette_exposure,center,3155,2956,0.9369255150554675,5.586182594299316,2.4881134033203125,14.481973648071289,5.593935012817383,2.4993703365325928,14.482047080993652,0.14950916171073914,0.0,0.0,0.0
classical_nf,vignette,Office,1.0,synthetic_gamma_vignette_exposure,middle,9589,8750,0.912503910731046,6.659643650054932,3.0114951133728027,17.834331512451172,6.666274070739746,3.0138564109802246,17.835079193115234,0.14027255773544312,0.0,0.0,0.0
classical_nf,vignette,Office,1.0,synthetic_gamma_vignette_exposure,border,5099,4829,0.947048440870759,7.0909833908081055,3.64383602142334,19.1431827545166,7.09653902053833,3.6456170082092285,19.144325256347656,0.1441449224948883,0.0,0.0,0.0
classical_nf,exposure,Office,1.0,synthetic_gamma_vignette_exposure,all,17843,16005,0.8969904164097966,6.557829856872559,3.0032920837402344,17.6422176361084,6.564470291137695,3.006620168685913,17.643268585205078,0.1317967176437378,2681.478492002043,4.388671836337222,0.16754004948466372
classical_nf,exposure,Office,1.0,synthetic_gamma_vignette_exposure,center,3155,2954,0.9362916006339144,5.589629650115967,2.5022759437561035,14.496663093566895,5.597440719604492,2.5053908824920654,14.496711730957031,0.1471790224313736,0.0,0.0,0.0
classical_nf,exposure,Office,1.0,synthetic_gamma_vignette_exposure,middle,9589,8548,0.8914381061633121,6.609330654144287,2.980724811553955,17.78645133972168,6.616092205047607,2.98937726020813,17.78657341003418,0.1310855746269226,0.0,0.0,0.0
classical_nf,exposure,Office,1.0,synthetic_gamma_vignette_exposure,border,5099,4503,0.883114336144342,7.095214366912842,3.598890781402588,19.195100784301758,7.1008524894714355,3.599769353866577,19.195110321044922,0.12305577844381332,0.0,0.0,0.0
classical_nf,response_exposure,Office,1.0,synthetic_gamma_vignette_exposure,all,17843,17040,0.954996357114835,6.473721981048584,2.9463915824890137,17.348264694213867,6.480287075042725,2.952869415283203,17.348312377929688,0.14004231989383698,8863.793959000077,14.507027756137605,0.5201757018192533
classical_nf,response_exposure,Office,1.0,synthetic_gamma_vignette_exposure,center,3155,3151,0.9987321711568938,5.392987251281738,2.435861587524414,13.882598876953125,5.401823043823242,2.44513201713562,13.885481834411621,0.17802412807941437,0.0,0.0,0.0
